countryid,GDP_2020
496,41.575838431529945
497,161.34867756898947
498,47.52088010488202
499,1075.2325076461045
500,264.6242852539886
501,189.1810227614397
502,62.67045399999866
503,227.21401536287874
504,142.106330997267
505,22.367914416073038
506,71.54101491920412
507,124.7838381000874
508,122.10652445396188
509,58.138300359747696
510,79.58323589809645
511,27.871540700784845
512,93.32011238654376
513,203.22836719460332
514,52.683450136063406
515,242.8929157644408
516,152.9542142700539
517,239.49093611747432
518,112.40881888355514
519,41.64579934160571
520,223.26535511276978
521,224.82634880519956
522,178.2206825717093
523,17.760480501414218
524,163.31647482194137
525,26.85762261149727
526,12.477561243528177
527,95.80782983596794
528,77.7902708700842
529,133.30645974658523
530,85.98884190667987
531,79.85313240329589
532,67.8889719576326
533,76.03771324496958
534,63.391831281605185
535,67.60539563136516
536,317.2441819005744
537,351.8169246099312
538,122.62189738847985
539,20.55151426105972
540,18.036109315979992
541,26.423145819886948
1170,11688.689824245033
1171,352.8891784731195
1172,654.7336523802068
1173,1047.9406565173176
1174,530.86868615967
1175,372.91338765343914
1176,96.1852682957124
1177,99.38614352707421
1178,114.10178392120466
1179,412.77384461965755
1180,315.3297944055798
1181,557.9175959965935
1182,1152.4226771697763
1183,273.9450535290256
1184,175.55482357158743
1185,253.09713532287856
1186,494.6451135914378
1187,258.88641061136514
1188,777.560470830167
1189,578.6943971523237
1190,577.3311037905488
1191,229.41358701427137
1192,1450.4972221975165
1193,568.7874756973845
1194,838.0131960690528
1195,241.27045529213518
1196,341.19008907605576
1197,650.76615087954
1198,499.74415683263754
1199,963.112423812046
1200,1007.392028039291
1201,496.75950032763416
1202,610.2824644363357
1203,449.4923432646552
1204,198.54652316376365
1205,181.66837406697746
1206,223.84521010945593
1207,404.9860637105022
1208,248.01424243109284
1209,876.8616014716923
1210,462.97785343541796
1211,499.061487639817
1212,539.4643975473971
1213,368.91261412274145
1214,230.29268049366507
1215,542.8245475041186
1216,541.0331340175729
1217,126.69167313457895
1218,80.67748306135653
1219,182.78773762975757
1220,167.88741609842685
1221,121.67653758348925
1222,248.14295587829014
1223,282.3550617085661
1224,261.2269113471621
1225,358.14975947772376
1226,305.7980868434966
1227,488.5736092093042
1228,361.0575740202978
1229,126.61559526629622
1230,198.74751106006048
1231,180.62135885336517
1232,521.5857034301573
1233,928.2341592196201
1234,394.36397928667463
1235,237.3879711623245
1236,302.4050008649084
1237,97.87378500533524
1238,153.03678115894962
1239,97.94642938994964
1240,108.2768566884714
1241,73.64164370510758
1242,98.40178862355697
1243,907.2079816311226
1244,844.3151027871646
1245,686.0150566982728
1246,50.68166475972961
1247,2602.3132944920867
1248,996.782488922427
1249,3891.3991247594568
1250,1816.4469870670737
1251,1191.7040312234653
1252,508.0727878997271
1253,881.4406936803454
1254,492.54883743238554
1255,184.9226077088507
1256,88.70081409692467
1257,692.1439877135799
1258,373.0742437541986
1259,2888.9720527627433
1260,483.893693989394
1261,97.63176238257257
1262,161.6944893156291
1263,487.9115010742451
1264,1215.1637483127884
1265,160.35441823229786
1266,307.6507151416918
1267,302.8015291784099
1268,496.3919449413627
1269,382.225300279663
1270,111.61028623632741
1271,383.33710905669966
1272,264.90293414376004
1273,468.5868070301416
1274,182.39779668655422
1275,174.12230078199252
1276,123.86975725997202
1277,173.21286701614076
1278,86.56865096617184
1279,148.95349664998864
1280,504.4903577102276
1281,1264.9563235431697
1282,350.71389445132485
1283,465.96269233396947
1284,284.9014611430506
1285,433.6777776076836
1286,311.44840574237526
1287,1243.8724027001072
1288,191.09250304550594
1289,362.08446144501886
1290,353.5424972856616
1291,261.87276602787216
1292,877.6329988834789
1293,296.01569482835913
1294,121.26762919979605
1295,244.1885747732289
1296,208.59458414470018
1297,100.65911278223477
1298,575.0801321180842
1299,280.1016523226437
1300,450.7524869186077
1301,365.83816732382337
1302,278.74914554525884
1303,632.0373509960986
1304,485.08961241111905
1305,265.141650709539
1306,270.51754884500804
1307,136.06945858066467
1308,251.55687802671912
1309,84.99572411090918
1310,50.989336810038736
1311,128.48965784325475
1312,336.8262075633542
1313,500.21493513161073
1314,396.0881347075064
1315,256.5697233390514
1316,102.08219593446086
1317,170.19066532380853
1318,90.33659181897706
1319,206.2303415582476
1320,159.81479142092124
1321,122.0123935767819
1322,164.12857512298996
1323,289.4101044127973
1324,272.32394009834223
1325,114.53924246174743
1326,171.76795568710935
1327,114.15850705109762
1328,110.09416839157997
1329,85.68807666953471
1330,313.1632295952139
1331,85.55902193076216
1332,48.66033272064096
1333,174.18828941247588
1335,342.1328652783607
1336,365.77857700997225
1337,197.6847856029151
1338,953.0187458715865
1339,101.87993044571185
1340,73.10458178254527
1341,143.37267035709303
1342,54.716590133863505
1343,42.10446972144836
1344,36.208095495814106
1345,140.74110325370876
1346,92.5141607193683
1347,0.0
415,1192.8119558853487
416,462.62544786070833
417,441.45939332651847
418,397.1131743580036
419,395.56564732700065
420,411.22407452146535
421,799.3078517359455
422,198.61640284774936
423,239.7412479789104
424,206.08429291377007
425,232.35837642707932
426,68.55966088171422
427,274.79852700188724
428,314.49823274387103
429,737.5712633847946
430,179.8204279159756
431,27.396044377911277
432,217.26049471512286
433,493.78727397546373
434,164.30566136355392
435,298.4244262842883
436,109.05201602189942
437,113.3074749593321
438,256.3522826553873
439,105.00849320298414
440,149.18382935593047
441,157.94843011201723
442,85.67149993478591
443,30.33702443280763
444,61.76517685502657
445,105.59250524525231
446,212.3777070112208
447,596.1269754973248
448,312.6154770357352
449,200.2675372909041
450,347.5029091991554
451,45.93173560388289
452,134.45931796158487
