country position,Hazard,starttime,endtime,Intensity
1880,extreme wind,2013-04-04,2013-04-06,17.0
1880,extreme wind,2015-02-23,2015-03-05,21.0
1880,extreme wind,2016-04-09,2016-04-15,20.0
1880,extreme wind,2005-02-22,2005-02-23,20.0
1880,heatwave,2010-04-09,2010-04-15,297.0
1880,extreme wind,2006-04-10,2006-04-13,17.0
1880,flood,2007-07-18,2007-08-13,1.0
1880,coldwave,2011-03-17,2011-04-29,266.0
1880,tropical cyclone,2016-08-15,2016-08-19,23.93
1880,heatwave,2012-04-27,2012-05-04,303.0
1880,extreme wind,2016-04-22,2016-04-23,18.0
1880,heatwave,2008-09-16,2008-09-26,301.0
1880,extreme wind,2015-03-31,2015-04-04,17.0
1880,tropical cyclone,2016-07-25,2016-07-28,34.95
1880,flood,2008-06-24,2008-06-27,1.5
1881,heatwave,2010-02-21,2010-03-09,304.0
1881,extreme wind,2010-02-28,2010-03-07,18.0
1881,heatwave,2007-03-27,2007-04-04,299.0
1881,heatwave,2010-01-28,2010-02-16,302.0
1881,extreme wind,2009-02-09,2009-03-01,25.0
1881,coldwave,2007-12-24,2008-02-25,246.0
1881,coldwave,2016-01-21,2016-01-31,248.0
1881,heatwave,2013-02-05,2013-03-09,302.0
1881,tropical cyclone,2016-08-15,2016-08-19,23.93
1881,extreme wind,2013-04-04,2013-04-06,17.0
1881,extreme wind,2005-02-22,2005-02-23,20.0
1881,coldwave,2011-03-17,2011-04-29,266.0
1881,extreme wind,2015-04-17,2015-04-19,22.0
1881,extreme wind,2005-02-12,2005-02-21,20.0
1881,heatwave,2012-04-27,2012-05-04,303.0
1881,extreme wind,2016-04-22,2016-04-23,18.0
1881,extreme wind,2006-04-10,2006-04-13,17.0
1881,tropical cyclone,2016-07-25,2016-07-28,34.95
1881,heatwave,2010-04-09,2010-04-15,297.0
1881,heatwave,2008-09-16,2008-09-26,301.0
1881,wildfire,2007-02-08,2007-02-23,9.62552436548902
1881,extreme wind,2015-03-31,2015-04-04,17.0
1881,extreme wind,2015-02-23,2015-03-05,21.0
1882,heatwave,2010-02-21,2010-03-09,304.0
1882,flood,2007-07-18,2007-08-13,1.0
1882,coldwave,2016-01-21,2016-01-31,248.0
1882,extreme wind,2010-02-28,2010-03-07,18.0
1882,extreme wind,2007-03-30,2007-04-02,15.0
1882,coldwave,2007-12-24,2008-02-25,246.0
1882,flood,2007-06-06,2007-08-17,1.5
1882,heatwave,2010-01-28,2010-02-16,302.0
1882,heatwave,2010-04-09,2010-04-15,297.0
1882,extreme wind,2005-02-12,2005-02-21,20.0
1882,heatwave,2007-03-27,2007-04-04,299.0
1882,heatwave,2013-02-05,2013-03-09,302.0
1882,extreme wind,2016-04-22,2016-04-23,18.0
1882,extreme wind,2009-02-09,2009-03-01,25.0
1882,coldwave,2011-03-17,2011-04-29,266.0
1882,extreme wind,2016-04-09,2016-04-15,20.0
1882,flood,2008-06-24,2008-06-27,1.5
1882,extreme wind,2015-03-31,2015-04-04,17.0
1882,extreme wind,2015-04-17,2015-04-19,22.0
1882,extreme wind,2006-04-10,2006-04-13,17.0
1882,heatwave,2008-09-16,2008-09-26,301.0
1882,extreme wind,2005-02-22,2005-02-23,20.0
1882,tropical cyclone,2016-07-25,2016-07-28,34.95
1882,heatwave,2012-04-27,2012-05-04,303.0
1882,extreme wind,2013-04-04,2013-04-06,17.0
1882,extreme wind,2015-02-23,2015-03-05,21.0
1882,tropical cyclone,2016-08-15,2016-08-19,23.93
1883,extreme wind,2006-04-10,2006-04-13,17.0
1883,heatwave,2010-02-21,2010-03-09,304.0
1883,heatwave,2010-01-28,2010-02-16,302.0
1883,extreme wind,2016-04-09,2016-04-15,20.0
1883,coldwave,2011-03-17,2011-04-29,266.0
1883,extreme wind,2016-04-22,2016-04-23,18.0
1883,tropical cyclone,2016-08-15,2016-08-19,23.93
1883,extreme wind,2010-02-28,2010-03-07,18.0
1883,extreme wind,2007-03-30,2007-04-02,15.0
1883,heatwave,2012-04-27,2012-05-04,303.0
1883,heatwave,2007-03-27,2007-04-04,299.0
1883,coldwave,2007-12-24,2008-02-25,246.0
1883,extreme wind,2005-02-22,2005-02-23,20.0
1883,coldwave,2016-01-21,2016-01-31,248.0
1883,extreme wind,2015-04-17,2015-04-19,22.0
1883,extreme wind,2013-04-04,2013-04-06,17.0
1883,tropical cyclone,2016-07-25,2016-07-28,34.95
1883,extreme wind,2015-03-31,2015-04-04,17.0
1883,heatwave,2008-09-16,2008-09-26,301.0
1884,heatwave,2014-04-13,2014-04-27,302.0
1884,extreme wind,2010-02-28,2010-03-07,18.0
1884,heatwave,2010-02-21,2010-03-09,304.0
1884,heatwave,2013-02-05,2013-03-09,302.0
1884,extreme wind,2015-04-17,2015-04-19,22.0
1884,heatwave,2007-03-27,2007-04-04,299.0
1884,extreme wind,2009-02-09,2009-03-01,25.0
1884,heatwave,2008-09-16,2008-09-26,301.0
1884,coldwave,2016-01-21,2016-01-31,248.0
1884,extreme wind,2016-04-09,2016-04-15,20.0
1884,coldwave,2007-12-24,2008-02-25,246.0
1884,extreme wind,2005-02-12,2005-02-21,20.0
1884,heatwave,2010-01-28,2010-02-16,302.0
1884,extreme wind,2013-04-04,2013-04-06,17.0
1884,extreme wind,2006-04-10,2006-04-13,17.0
1884,flood,2007-06-06,2007-08-17,1.5
1884,heatwave,2012-04-27,2012-05-04,303.0
1884,heatwave,2010-04-09,2010-04-15,297.0
1884,extreme wind,2016-04-22,2016-04-23,18.0
1884,tropical cyclone,2016-07-25,2016-07-28,34.95
1884,extreme wind,2005-02-22,2005-02-23,20.0
1884,wildfire,2007-02-08,2007-02-23,9.62552436548902
1884,coldwave,2011-03-17,2011-04-29,266.0
1884,extreme wind,2015-02-23,2015-03-05,21.0
1884,extreme wind,2013-02-13,2013-02-18,17.0
1884,extreme wind,2015-03-31,2015-04-04,17.0
1884,wildfire,2007-03-28,2007-04-04,11.82121830176152
1884,tropical cyclone,2016-08-15,2016-08-19,23.93
1885,heatwave,2010-01-28,2010-02-16,302.0
1885,heatwave,2007-03-27,2007-04-04,299.0
1885,coldwave,2016-01-21,2016-01-31,248.0
1885,heatwave,2013-02-05,2013-03-09,302.0
1885,extreme wind,2010-02-28,2010-03-07,18.0
1885,heatwave,2010-02-21,2010-03-09,304.0
1885,extreme wind,2016-04-09,2016-04-15,20.0
1885,flood,2007-06-06,2007-08-17,1.5
1885,heatwave,2014-04-13,2014-04-27,302.0
1885,wildfire,2010-02-28,2010-03-13,12.05322448396774
1885,extreme wind,2005-02-22,2005-02-23,20.0
1885,extreme wind,2009-02-09,2009-03-01,25.0
1885,heatwave,2010-04-09,2010-04-15,297.0
1885,wildfire,2010-02-26,2010-03-07,13.159371333972032
1885,extreme wind,2005-02-12,2005-02-21,20.0
1885,coldwave,2007-12-24,2008-02-25,246.0
1885,coldwave,2011-03-17,2011-04-29,266.0
1885,heatwave,2006-04-11,2006-04-13,292.0
1885,extreme wind,2013-02-13,2013-02-18,17.0
1885,extreme wind,2006-04-10,2006-04-13,17.0
1885,flood,2007-07-18,2007-08-13,1.0
1885,extreme wind,2013-04-04,2013-04-06,17.0
1885,extreme wind,2016-04-22,2016-04-23,18.0
1885,heatwave,2012-04-27,2012-05-04,303.0
1885,heatwave,2007-12-26,2008-01-27,287.0
1885,extreme wind,2015-02-23,2015-03-05,21.0
1885,wildfire,2012-04-02,2012-04-20,15.782442856040095
1885,heatwave,2008-09-16,2008-09-26,301.0
1885,flood,2008-06-24,2008-06-27,1.5
1885,extreme wind,2015-03-31,2015-04-04,17.0
1885,wildfire,2010-02-26,2010-03-05,6.143896045796248
1885,tropical cyclone,2016-07-25,2016-07-28,34.95
1885,tropical cyclone,2016-08-15,2016-08-19,23.93
1886,heatwave,2014-04-13,2014-04-27,302.0
1886,heatwave,2010-02-21,2010-03-09,304.0
1886,extreme wind,2009-02-09,2009-03-01,25.0
