country position,Hazard,starttime,endtime,Intensity
1886,heatwave,2012-04-27,2012-05-04,303.0
1886,flood,2007-07-18,2007-08-13,1.0
1886,tropical cyclone,2016-07-25,2016-07-28,34.95
1886,wildfire,2009-02-21,2009-03-06,21.84109027049288
1886,extreme wind,2006-04-10,2006-04-13,17.0
1886,wildfire,2010-02-24,2010-03-06,12.22191284267541
1886,wildfire,2009-02-14,2009-03-04,16.805978168329542
1886,heatwave,2010-04-09,2010-04-15,297.0
1886,wildfire,2010-03-05,2010-03-16,6.329432484823683
1886,flood,2008-06-24,2008-06-27,1.5
1886,heatwave,2015-03-25,2015-04-09,297.0
1886,tropical cyclone,2016-08-15,2016-08-19,23.93
1886,extreme wind,2010-02-28,2010-02-28,18.0
1886,heatwave,2008-09-16,2008-09-26,301.0
1886,extreme wind,2015-03-31,2015-04-04,17.0
1886,extreme wind,2016-04-22,2016-04-23,18.0
1887,extreme wind,2010-02-28,2010-03-07,18.0
1887,heatwave,2010-01-28,2010-02-16,302.0
1887,heatwave,2010-02-21,2010-03-09,304.0
1887,extreme wind,2009-02-09,2009-03-01,25.0
1887,heatwave,2013-02-05,2013-03-09,302.0
1887,heatwave,2007-03-27,2007-04-04,299.0
1887,extreme wind,2016-04-22,2016-04-23,18.0
1887,coldwave,2016-01-21,2016-01-31,248.0
1887,extreme wind,2005-02-12,2005-02-21,20.0
1887,flood,2007-06-06,2007-08-17,1.5
1887,extreme wind,2013-02-13,2013-02-18,17.0
1887,coldwave,2011-03-17,2011-04-29,266.0
1887,extreme wind,2006-04-10,2006-04-13,17.0
1887,coldwave,2007-12-24,2008-02-25,246.0
1887,tropical cyclone,2016-08-15,2016-08-19,23.93
1887,extreme wind,2015-03-31,2015-04-04,17.0
1887,tropical cyclone,2016-07-25,2016-07-28,34.95
1887,heatwave,2015-03-25,2015-04-09,297.0
1887,heatwave,2008-09-16,2008-09-26,301.0
1887,extreme wind,2005-02-22,2005-02-23,20.0
1887,heatwave,2012-04-27,2012-05-04,303.0
1887,flood,2008-06-24,2008-06-27,1.5
1887,extreme wind,2010-02-28,2010-02-28,18.0
1887,extreme wind,2015-04-17,2015-04-19,22.0
1887,extreme wind,2015-02-23,2015-03-05,21.0
1888,extreme wind,2007-03-30,2007-04-02,15.0
1888,coldwave,2016-01-21,2016-01-31,248.0
1888,heatwave,2010-02-21,2010-03-09,304.0
1888,heatwave,2007-03-27,2007-04-04,299.0
1888,extreme wind,2010-02-28,2010-03-07,18.0
1888,extreme wind,2009-02-09,2009-03-01,25.0
1888,heatwave,2014-04-13,2014-04-27,302.0
1888,extreme wind,2015-02-23,2015-03-05,21.0
1888,extreme wind,2013-04-04,2013-04-06,17.0
1888,heatwave,2010-04-09,2010-04-15,297.0
1888,heatwave,2010-01-28,2010-02-16,302.0
1888,extreme wind,2016-04-09,2016-04-15,20.0
1888,coldwave,2007-12-24,2008-02-25,246.0
1888,heatwave,2012-04-27,2012-05-04,303.0
