countryid,value
83,386210.0420426903
87,697847.8139671396
91,238813.99946464642
100,396842.61115488963
2309,291037.1376767505
2311,943026.7506029134
2215,41885.81745588607
2153,128029.27913760356
2130,353881.29957250034
227,208394.13097781656
94,566321.4293320985
148,642955.5048718174
12,1201088.990617362
2095,334680.7646064067
234,118569.9762008431
96,552160.2135436601
82,99190.92196149932
84,1741725.9030143842
140,744915.4232574455
2320,346046.2679904506
2247,101345.50552511745
301,76452.08262250945
147,452574.47907927696
2150,181012.07127595542
2129,82217.06835964105
2245,871766.1578828504
261,264970.0469203356
24,456150.43825946894
19,333492.13532199996
18,592639.2863527761
93,315753.1657361384
90,493665.1081057331
130,340991.0353982469
231,137104.5612894945
225,616697.3856733879
226,182227.20620191726
102,1020787.1894061207
97,492943.45395724353
142,725366.693047858
141,442228.9217795832
265,163096.97789621435
178,231807.05533393295
30,486886.69535424066
103,492968.97593769635
99,148929.9327190198
134,436362.47311406396
129,1016128.5212476902
2312,573439.813877527
2246,1184054.0910016748
2258,240423.90592549686
165,149879.9674599469
128,132585.4369783439
2317,42996.37507987638
2310,233419.01384235537
2103,198291.17128528407
16,641377.538072705
28,864403.7700451135
23,515179.2838914595
21,203022.60018174472
157,341584.1548220402
156,208951.0401524628
137,652124.5345234696
2257,528727.5418429141
2098,583364.5626582553
262,458342.1301207753
166,103463.56269711051
15,825569.142278318
31,2690300.0137816793
139,563651.0268479255
138,176123.30122132887
132,144072.5010473437
1030,215739.46692809972
957,789.6626916673802
2154,965306.7846542712
2255,180697.4019812256
266,83926.25701198044
167,245467.50303149188
206,500029.15944223525
177,634780.3768486355
14,303090.46387487906
29,491307.1892045863
27,578217.5551193594
162,565907.8674822947
155,207229.67017758996
135,290950.83320816094
133,451942.3504849111
952,828620.1175117034
2318,638450.8332044192
2217,36731.60901712676
2252,304594.2037087356
2099,349024.5923088135
2102,105992.55758419332
163,3500792.9282583813
176,173287.05396444962
17,523491.1816645028
154,417696.5051405902
160,557289.5731394086
131,359801.1498408001
1011,224103.57445070916
1031,319665.52307464706
2156,295253.8701949533
259,416660.00487893424
25,770692.3563147805
2240,241063.72237906762
2214,115073.38814242996
2254,380425.5495573353
2100,316437.0061392116
2106,271999.99120854476
260,216548.70735285777
201,437634.48284842947
26,627066.9399347511
72,766729.5376861782
152,491022.701411596
159,622984.9654388253
1010,550007.3230945757
1017,705001.8455289695
954,382169.52816090063
953,302995.29888329154
958,547506.6499031512
961,439158.1899700697
2253,481617.8121881739
2101,273759.612334656
2104,133036.78358353474
257,97939.46895055457
164,449130.62602241064
205,281874.5546502461
22,490831.0462353872
161,498565.2534116961
136,210405.06641778606
1029,571767.90643222
2216,48347.94654697807
2157,232047.38879478673
2134,210318.89564437055
263,599292.3868382546
20,130729.97798853509
68,267754.1861580085
153,409746.02717170096
1009,768898.6251852096
956,1932382.2824473663
2256,397618.45748640224
207,151687.1243765493
204,176255.47793591977
66,328648.76327559416
69,497218.8467612138
74,132889.18491908262
158,973670.4847549722
1008,104672.67306410205
1012,603273.2426961303
938,642201.1215813151
1028,712867.7729307848
1027,423133.16675954737
962,731490.3253416619
963,776056.7913088229
990,345231.77868813224
2243,97920.23108456435
2205,296631.6622852541
2077,168914.33628242352
2074,241292.97536139813
2105,178909.6642971134
267,105937.52911743996
258,493678.17114970397
208,305614.91875992407
202,63035.808982425966
67,359744.6479121465
73,362664.71287768433
80,337111.0035652797
960,747940.7894183691
991,869796.500131592
992,561063.5250923653
2242,43659.09935108461
2075,188501.0195909786
209,410541.0990602177
65,925679.9352840916
75,362331.1676092006
77,653793.1388332433
1016,387710.1081881543
1014,511016.0408215755
948,668259.5379868889
1032,357228.81081086735
955,464649.12381641724
970,865949.794081471
2132,456326.1059436604
264,100193.61582759403
268,185317.56494997322
256,445020.57771413994
211,562910.3097744713
203,175429.45596541272
70,293096.3552458226
937,590874.0708444989
2222,117803.73786403632
2211,243336.5415617229
2183,273288.0774876148
2076,165110.20962638946
187,164020.33708808766
64,121714.1168252224
71,325164.6068851846
76,356222.104032105
78,387825.04489472555
1015,451259.1946761408
1018,451402.6389358479
1033,869312.7066319407
947,550575.2714183423
965,1419852.8220499754
973,681450.2350438653
945,851833.9758694976
959,894694.9837767127
964,693601.7510909804
993,556000.8106355612
2206,1451116.5604006336
2125,419166.6429044785
2131,377378.56817291793
2260,532209.2824974378
2071,382453.0015900829
2073,208570.40717989596
189,152039.92193316147
63,1020652.1770628991
81,715477.0683483302
1025,526701.4037629149
1013,965191.3360088464
939,1322743.487382767
946,3279419.306322611
943,1834213.0708813437
251,94726.5273368289
250,90607.18308001084
210,276804.932456446
188,213046.46758773402
56,901205.1847573193
58,286791.18316131417
57,220386.5247937414
79,421049.68502530584
1026,980354.3251496322
968,1785001.800776679
2207,205454.82180208748
2210,228960.51011751164
2126,163014.1857006229
2184,99866.77415375022
