县编号,0-0.1 负荷密度 出现次数,0-0.1 负荷密度 总和,0.1-1 负荷密度 出现次数,0.1-1 负荷密度 总和,1-6 负荷密度 出现次数,1-6 负荷密度 总和,6-15 负荷密度 出现次数,6-15 负荷密度 总和,15-30 负荷密度 出现次数,15-30 负荷密度 总和,大于30 负荷密度 出现次数,大于30 负荷密度 总和,大于80 负荷密度 出现次数,大于80 负荷密度 总和
1265,0,0.0,286,184.12934908175794,2,2.5163973420813615,0,0.0,0,0.0,0,0.0,0,0.0
1266,0,0.0,646,363.95261609401035,2,2.498045488857274,0,0.0,0,0.0,0,0.0,0,0.0
1267,0,0.0,574,372.468715622288,2,2.478917734932123,0,0.0,0,0.0,0,0.0,0,0.0
1268,0,0.0,964,642.1059606069479,8,11.01739619765679,0,0.0,0,0.0,0,0.0,0,0.0
1269,0,0.0,678,498.175825086738,6,8.515736605245397,0,0.0,0,0.0,0,0.0,0,0.0
1270,0,0.0,84,32.711238990253534,24,98.23679371096581,0,0.0,0,0.0,0,0.0,0,0.0
1271,0,0.0,602,438.3668896352016,10,11.580186161186152,0,0.0,0,0.0,0,0.0,0,0.0
1272,0,0.0,540,199.52108570213764,36,99.58801419034702,0,0.0,0,0.0,0,0.0,0,0.0
1273,0,0.0,550,218.94381906966674,94,305.3721793784789,4,35.44529251261672,0,0.0,0,0.0,0,0.0
1274,0,0.0,864,209.67079947210732,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1275,0,0.0,756,207.23655289816435,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1276,74,5.095730829892655,826,149.36030410639856,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1277,0,0.0,972,222.34374045619313,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1278,594,42.34775022808052,306,71.69614411049335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1279,0,0.0,540,185.57010154721036,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1280,6,0.0,182,59.6696580922678,86,221.34546753287285,10,88.84991812956,4,84.97285995226444,0,0.0,0,0.0
1281,0,0.0,918,347.26649202650646,26,58.632446286388685,54,522.8902450011603,10,228.89247995060373,0,0.0,0,0.0
1282,0,0.0,612,313.6746493640233,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1283,0,0.0,431,329.3123506976354,109,123.65651014693684,0,0.0,0,0.0,0,0.0,0,0.0
1284,50,4.626690123311086,1282,271.0574948824149,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1285,0,0.0,360,171.7147945016982,180,248.78975280439857,0,0.0,0,0.0,0,0.0,0,0.0
1286,2,0.0,572,276.02372586038723,2,2.013338049948308,0,0.0,0,0.0,0,0.0,0,0.0
1287,0,0.0,780,332.41670240726313,0,0.0,8,105.654600126194,38,671.2888902767725,2,67.12534543042545,0,0.0
1288,2,0.0,358,171.91558407896835,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1289,0,0.0,792,345.1852164278338,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1290,0,0.0,754,304.7204901508668,2,3.296493349617343,0,0.0,0,0.0,0,0.0,0,0.0
1291,0,0.0,468,234.49825418823855,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1292,0,0.0,1530,403.22944102986077,0,0.0,2,29.449790215457092,10,172.77773602245762,6,226.48236956102213,0,0.0
1293,116,10.128481085541711,1072,246.9681138784439,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1294,0,0.0,216,108.90650187840365,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1295,70,5.282522752721443,794,220.59793317571732,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1296,12,0.9009342454555007,1140,186.93888916592473,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1297,941,67.09164075993203,139,22.090238371518858,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1298,0,0.0,244,174.24912128658644,260,397.83663837476,0,0.0,0,0.0,0,0.0,0,0.0
1299,0,0.0,428,252.09122635469774,4,4.711263841977094,0,0.0,0,0.0,0,0.0,0,0.0
1300,0,0.0,530,256.1174789519484,154,195.61988324454165,0,0.0,0,0.0,0,0.0,0,0.0
1301,0,0.0,1618,323.3150381430744,38,49.49342040369072,0,0.0,0,0.0,0,0.0,0,0.0
1302,0,0.0,612,263.16114133194185,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1303,0,0.0,198,131.0708134702162,486,799.1707116489969,0,0.0,0,0.0,0,0.0,0,0.0
1304,0,0.0,742,487.77841801206597,122,207.23018536659674,0,0.0,0,0.0,0,0.0,0,0.0
1305,4,0.0,706,347.0519976209314,46,71.10497171308067,0,0.0,0,0.0,0,0.0,0,0.0
